Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1733322104,2024-12-04T14:21:44Z,ITY1682,"43.802902,11.200354",0,0,163
1733322166,2024-12-04T14:22:46Z,ITY1682,"43.80312,11.200306",0,2,146
1733322198,2024-12-04T14:23:18Z,ITY1682,"43.803329,11.200088",0,1,137
1733322221,2024-12-04T14:23:41Z,ITY1682,"43.803497,11.199875",0,3,137
1733322246,2024-12-04T14:24:06Z,ITY1682,"43.803658,11.199667",0,2,137
1733322402,2024-12-04T14:26:42Z,ITY1682,"43.803596,11.199924",0,7,109
1733322409,2024-12-04T14:26:49Z,ITY1682,"43.803669,11.200226",0,8,70
1733322417,2024-12-04T14:26:57Z,ITY1682,"43.803909,11.200398",0,8,19
1733322424,2024-12-04T14:27:04Z,ITY1682,"43.804176,11.200431",0,8,8
1733322431,2024-12-04T14:27:11Z,ITY1682,"43.80447,11.200498",0,10,8
1733322440,2024-12-04T14:27:20Z,ITY1682,"43.804871,11.20053",0,9,357
1733322447,2024-12-04T14:27:27Z,ITY1682,"43.805099,11.200258",0,9,317
1733322452,2024-12-04T14:27:32Z,ITY1682,"43.805237,11.200038",0,10,312
1733322458,2024-12-04T14:27:38Z,ITY1682,"43.805527,11.199957",0,11,354
1733322464,2024-12-04T14:27:44Z,ITY1682,"43.805832,11.200038",0,11,11
1733322471,2024-12-04T14:27:51Z,ITY1682,"43.806198,11.200162",0,12,14
1733322475,2024-12-04T14:27:55Z,ITY1682,"43.806423,11.200251",0,13,14
1733322479,2024-12-04T14:27:59Z,ITY1682,"43.806656,11.200322",0,13,14
1733322487,2024-12-04T14:28:07Z,ITY1682,"43.807076,11.200529",0,13,25
1733322491,2024-12-04T14:28:11Z,ITY1682,"43.807251,11.200742",0,13,42
1733322495,2024-12-04T14:28:15Z,ITY1682,"43.807411,11.200993",0,13,45
1733322502,2024-12-04T14:28:22Z,ITY1682,"43.807732,11.201471",0,14,47
1733322508,2024-12-04T14:28:28Z,ITY1682,"43.807972,11.201839",0,14,47
1733322511,2024-12-04T14:28:31Z,ITY1682,"43.808113,11.202049",0,14,47
1733322515,2024-12-04T14:28:35Z,ITY1682,"43.808285,11.202327",0,14,47
1733322519,2024-12-04T14:28:39Z,ITY1682,"43.808464,11.20259",0,15,47
1733322522,2024-12-04T14:28:42Z,ITY1682,"43.80859,11.202797",0,15,47
1733322529,2024-12-04T14:28:49Z,ITY1682,"43.808922,11.203308",0,15,47
1733322537,2024-12-04T14:28:57Z,ITY1682,"43.809322,11.203897",0,16,47
1733322545,2024-12-04T14:29:05Z,ITY1682,"43.809776,11.204583",0,20,47
1733322553,2024-12-04T14:29:13Z,ITY1682,"43.810375,11.205527",0,25,47
1733322560,2024-12-04T14:29:20Z,ITY1682,"43.81097,11.206454",0,27,47
1733322568,2024-12-04T14:29:28Z,ITY1682,"43.811668,11.207508",0,27,47
1733322575,2024-12-04T14:29:35Z,ITY1682,"43.812302,11.208442",0,27,47
1733322583,2024-12-04T14:29:43Z,ITY1682,"43.812965,11.20952",0,28,47
1733322591,2024-12-04T14:29:51Z,ITY1682,"43.813618,11.210534",0,27,47
1733322597,2024-12-04T14:29:57Z,ITY1682,"43.814106,11.21134",0,27,53
1733322598,2024-12-04T14:29:58Z,ITY1682,"43.81422,11.211564",0,27,53
1733322606,2024-12-04T14:30:06Z,ITY1682,"43.814793,11.212506",0,24,50
